NAME,variable,individualEstimates
"Gloucester County, Virginia",S1501_C02_015,22.8
"Isle of Wight County, Virginia",S1501_C02_015,26.9
"James City County, Virginia",S1501_C02_015,47.9
"Mathews County, Virginia",S1501_C02_015,26.9
"Southampton County, Virginia",S1501_C02_015,19
"York County, Virginia",S1501_C02_015,43.6
"Chesapeake city, Virginia",S1501_C02_015,31.5
"Franklin city, Virginia",S1501_C02_015,25.3
"Hampton city, Virginia",S1501_C02_015,25.6
"Newport News city, Virginia",S1501_C02_015,24.8
"Norfolk city, Virginia",S1501_C02_015,27.3
"Poquoson city, Virginia",S1501_C02_015,41.5
"Portsmouth city, Virginia",S1501_C02_015,21.9
"Suffolk city, Virginia",S1501_C02_015,27.2
"Virginia Beach city, Virginia",S1501_C02_015,34.8
"Williamsburg city, Virginia",S1501_C02_015,55.2
