div_names,lat,lon
Chesapeake City,36.690473,-76.297654
Franklin City,36.68354,-76.940148
Gloucester County,37.40545,-76.519133
Hampton City,37.046933,-76.390236
Isle of Wight County,36.901637,-76.708161
Mathews County,37.470724,-76.37582
Newport News City,37.123232,-76.523771
Norfolk City,36.903378,-76.248186
Poquoson City,37.130348,-76.357799
Portsmouth City,36.878493,-76.380289
Southampton City,36.720152,-77.114512
 Suffolk City,36.714941,-76.626346
Virginia Beach City,36.792042,-76.053855
Williamsburg-James City County,37.311197,-76.804677
York County,37.242246,-76.566393
