Year,NAME,variable,Male,variable2,Female,variable3,Total,BlackGeneral
2014,"Gloucester County, Virginia",C15002B_006,217,C15002B_011,271,C15002B_001,2400,20.333333333333332
2014,"Isle of Wight County, Virginia",C15002B_006,297,C15002B_011,451,C15002B_001,5834,12.821391840932463
2014,"James City County, Virginia",C15002B_006,622,C15002B_011,740,C15002B_001,6266,21.73635493137568
2014,"Mathews County, Virginia",C15002B_006,23,C15002B_011,74,C15002B_001,765,12.679738562091503
2014,"Southampton County, Virginia",C15002B_006,207,C15002B_011,304,C15002B_001,4864,10.505756578947368
2014,"York County, Virginia",C15002B_006,699,C15002B_011,839,C15002B_001,5475,28.091324200913242
2014,"Chesapeake city, Virginia",C15002B_006,3527,C15002B_011,6497,C15002B_001,43048,23.285634640401412
2014,"Franklin city, Virginia",C15002B_006,161,C15002B_011,138,C15002B_001,2986,10.013395847287342
2014,"Hampton city, Virginia",C15002B_006,3447,C15002B_011,5293,C15002B_001,42430,20.598633042658495
2014,"Newport News city, Virginia",C15002B_006,2567,C15002B_011,4815,C15002B_001,43489,16.974407321391617
2014,"Norfolk city, Virginia",C15002B_006,3219,C15002B_011,5359,C15002B_001,59746,14.357446523616643
2014,"Poquoson city, Virginia",C15002B_006,12,C15002B_011,12,C15002B_001,83,28.915662650602407
2014,"Portsmouth city, Virginia",C15002B_006,1841,C15002B_011,3061,C15002B_001,31775,15.427222659323366
2014,"Suffolk city, Virginia",C15002B_006,1608,C15002B_011,2621,C15002B_001,22597,18.714873655795017
2014,"Virginia Beach city, Virginia",C15002B_006,4717,C15002B_011,8109,C15002B_001,52136,24.60104342488875
2014,"Williamsburg city, Virginia",C15002B_006,149,C15002B_011,167,C15002B_001,1290,24.496124031007753
