NAME,variable,pct_tot
"Gloucester County, Virginia",S1501_C01_015,23.289342353332593
"Isle of Wight County, Virginia",S1501_C01_015,27.038234734639527
"James City County, Virginia",S1501_C01_015,50.39506082099151
"Mathews County, Virginia",S1501_C01_015,27.879751409163173
"Southampton County, Virginia",S1501_C01_015,18.406115189586014
"York County, Virginia",S1501_C01_015,47.059467267832524
"Chesapeake city, Virginia",S1501_C01_015,33.157809763912525
"Franklin city, Virginia",S1501_C01_015,19.07323845886845
"Hampton city, Virginia",S1501_C01_015,26.900171261256283
"Newport News city, Virginia",S1501_C01_015,26.275516776448566
"Norfolk city, Virginia",S1501_C01_015,28.829418307923838
"Poquoson city, Virginia",S1501_C01_015,42.22222222222222
"Portsmouth city, Virginia",S1501_C01_015,21.89121207357334
"Suffolk city, Virginia",S1501_C01_015,29.477465065931902
"Virginia Beach city, Virginia",S1501_C01_015,36.012622981251155
"Williamsburg city, Virginia",S1501_C01_015,56.75494018013174
