"","Christianity","Judaism","Budhism","Hindu","Islam"
"Chesapeake city",72.6164446,0,0,0.1800107,1.546
"Franklin city",114.8776682,0,0,0,0
"Hampton city",82.3570004,0.4178889,0,0,5
"Newport News city",66.6025572,0.237,0.05644122,0.9639274,1.901
"Norfolk city",77.3461114,1.7447778,0.04695164,0,4.245
"Poquoson city",81.324889,0,0,0,0
"Portsmouth city",81.9450003,0.2338889,0,0,3.596889
"Suffolk city",63.6426682,0,0,0,0
"Virginia Beach city",70.202889189,0.256,1.0602885,0.01141568,0.784
"Williamsburg city",171.7002236,0,0,0,0
"Gloucester County",81.2902225,0,0,0,0
"Isle of Wight County",70.6887781,0,3.867309,0,0
"James City County",66.1308892,0,0,0,5.128
"Mathews County",107.4393347,0,0,0,0
"Southampton County",77.1511126,0,0,0,0
"York County",75.3095557,0,0,0,0
