Division No.,Division Name,Total Counts,American Indian,Asian,Black,Hispanic,White,Hawaiian,Two or More Races,Not Specified,BlackProportions,AsianProportions,HispanicProportions,WhiteProportions,AmericanIndianProportions,TwoOrMoreRacesProportions,HawaiianProportions
136,Chesapeake ,3301,11,23,604,109,2474,8,72,0,18.297485610421084,0.6967585580127235,3.3020296879733415,74.94698576189035,0.3332323538321721,2.1811572250833082,0.0024235080278703423
135,Franklin ,95,0,0,53,3,38,0,1,0,55.78947368421052,0,3.1578947368421053,40,0,1.0526315789473684,0
36,Gloucester ,460,0,7,25,4,419,0,5,0,5.434782608695652,1.5217391304347827,0.8695652173913043,91.08695652173913,0,1.0869565217391304,0
112,Hampton ,1556,5,20,606,47,866,4,1,7,38.94601542416453,1.2853470437017995,3.020565552699229,55.65552699228792,0.3213367609254499,0.06426735218508997,0.002570694087403599
46,Isle of Wight ,458,0,0,53,6,398,0,1,0,11.572052401746726,0,1.3100436681222707,86.8995633187773,0,0.21834061135371177,0
57,Mathews ,101,0,0,8,0,92,1,0,0,7.920792079207921,0,0,91.0891089108911,0,0,0.009900990099009901
117,Newport News ,2140,2,35,732,7,1320,2,42,0,34.205607476635514,1.6355140186915886,0.3271028037383178,61.6822429906542,0.09345794392523366,1.9626168224299065,9.345794392523365e-4
118,Norfolk ,2540,2,57,1131,47,1261,5,28,9,44.52755905511811,2.2440944881889764,1.8503937007874016,49.645669291338585,0.07874015748031496,1.1023622047244095,0.001968503937007874
142,Poquoson ,202,0,3,7,4,187,0,1,0,3.4653465346534658,1.4851485148514851,1.9801980198019802,92.57425742574257,0,0.49504950495049505,0
121,Portsmouth ,1151,3,13,718,14,398,2,3,0,62.38053866203301,1.1294526498696786,1.2163336229365769,34.57862728062555,0.26064291920069504,0.26064291920069504,0.0017376194613379669
87,Southampton ,230,0,0,72,4,152,0,1,1,31.30434782608696,0,1.7391304347826086,66.08695652173913,0,0.43478260869565216,0
127,Suffolk ,1196,0,7,457,7,722,1,1,1,38.21070234113713,0.5852842809364548,0.5852842809364548,60.367892976588635,0,0.08361204013377926,8.361204013377926e-4
128,Virginia Beach ,5408,23,142,631,199,4410,2,0,1,11.667899408284024,2.6257396449704142,3.679733727810651,81.54585798816568,0.42529585798816566,0,3.698224852071006e-4
131,Williamsburg-James  ,965,5,14,84,11,848,0,3,0,8.704663212435234,1.450777202072539,1.1398963730569949,87.87564766839378,0.5181347150259068,0.31088082901554404,0
98,York ,1041,0,10,95,28,888,0,19,1,9.125840537944283,0.9606147934678195,2.689721421709894,85.30259365994236,0,1.8251681075888568,0
